feat,imp
app_cate_id,34
ratio_click_of_hour_in_make,34
ratio_click_of_advert_industry_inner_in_make,33
ratio_click_of_inner_slot_id_in_orderid,33
ratio_click_of_creative_width_in_make,32
ratio_click_of_inner_slot_id_in_adid,32
ratio_click_of_inner_slot_id_in_city,32
ratio_click_of_app_cate_id_in_campaign_id,32
ratio_click_of_creative_tp_dnf_in_province,32
ratio_click_of_creative_width_in_province,32
ratio_click_of_make_in_hour,32
ratio_click_of_creative_type_in_app_id,32
ratio_click_of_orderid_in_make,32
ratio_click_of_make_in_creative_tp_dnf,32
ratio_click_of_creative_id_in_make,31
ratio_click_of_hour_in_province,31
ratio_click_of_orderid_in_app_cate_id,31
ratio_click_of_carrier_in_app_id,31
ratio_click_of_hour_in_app_cate_id,31
ratio_click_of_campaign_id_in_app_id,30
ratio_click_of_app_id_in_hour,30
ratio_click_of_inner_slot_id_in_make,29
ratio_click_of_creative_id_in_province,29
ratio_click_of_advert_id_in_osv,29
ratio_click_of_creative_tp_dnf_in_advert_id,29
ratio_click_of_devtype_in_inner_slot_id,29
ratio_click_of_province_in_campaign_id,29
ratio_click_of_creative_id_in_hour,28
ratio_click_of_os_in_app_cate_id,28
ratio_click_of_creative_is_download_in_app_cate_id,28
ratio_click_of_orderid_in_city,28
ratio_click_of_osv_in_os,28
ratio_click_of_app_cate_id_in_nnt,27
ratio_click_of_advert_id_in_make,27
ratio_click_of_app_cate_id_in_creative_tp_dnf,27
ratio_click_of_app_cate_id_in_advert_id,27
ratio_click_of_inner_slot_id_in_creative_height,27
ratio_click_of_model_in_orderid,26
ratio_click_of_osv_in_campaign_id,26
ratio_click_of_creative_height_in_advert_id,26
ratio_click_of_advert_name_in_app_id,25
ratio_click_of_adid_in_app_cate_id,25
ratio_click_of_creative_type_in_app_cate_id,25
ratio_click_of_creative_id_in_nnt,24
ratio_click_of_carrier_in_app_cate_id,24
ratio_click_of_creative_id_in_orderid,24
ratio_click_of_creative_tp_dnf_in_app_cate_id,24
ratio_click_of_osv_in_advert_id,24
ratio_click_of_model_in_adid,24
ratio_click_of_os_in_adid,24
ratio_click_of_hour_in_nnt,24
ratio_click_of_model_in_creative_id,24
ratio_click_of_hour_in_osv,23
ratio_click_of_inner_slot_id_in_f_channel,23
ratio_click_of_advert_name_in_inner_slot_id,23
ratio_click_of_hour_in_campaign_id,23
ratio_click_of_creative_tp_dnf_in_campaign_id,23
ratio_click_of_creative_type_in_campaign_id,23
ratio_click_of_osv_in_carrier,23
ratio_click_of_adid_in_city,23
ratio_click_of_os_in_hour,23
ratio_click_of_model_in_app_id,23
ratio_click_of_app_cate_id_in_advert_industry_inner,23
ratio_click_of_creative_tp_dnf_in_inner_slot_id,23
ratio_click_of_osv_in_hour,23
ratio_click_of_app_id_in_advert_id,22
ratio_click_of_app_id_in_creative_width,22
ratio_click_of_creative_height_in_campaign_id,22
ratio_click_of_inner_slot_id_in_creative_tp_dnf,22
ratio_click_of_creative_id_in_advert_name,22
ratio_click_of_make_in_advert_industry_inner,22
ratio_click_of_osv_in_advert_industry_inner,22
ratio_click_of_inner_slot_id_in_creative_is_download,22
ratio_click_of_inner_slot_id_in_osv,22
ratio_click_of_creative_is_download_in_app_id,21
ratio_click_of_advert_industry_inner_in_app_cate_id,21
ratio_click_of_make_in_advert_id,21
ratio_click_of_advert_id_in_f_channel,21
ratio_click_of_model_in_inner_slot_id,21
ratio_click_of_creative_id_in_advert_id,21
ratio_click_of_osv_in_creative_tp_dnf,21
ratio_click_of_devtype_in_model,20
ratio_click_of_creative_id_in_campaign_id,20
ratio_click_of_city_in_app_cate_id,20
ratio_click_of_os_in_campaign_id,20
ratio_click_of_hour_in_f_channel,20
ratio_click_of_inner_slot_id_in_hour,20
ratio_click_of_creative_id_in_advert_industry_inner,20
ratio_click_of_province_in_creative_tp_dnf,20
ratio_click_of_app_cate_id_in_carrier,19
ratio_click_of_inner_slot_id_in_creative_width,19
ratio_click_of_province_in_f_channel,19
ratio_click_of_campaign_id_in_advert_id,19
ratio_click_of_app_cate_id_in_advert_name,19
ratio_click_of_hour_in_creative_tp_dnf,19
ratio_click_of_hour_in_advert_industry_inner,19
ratio_click_of_province_in_advert_industry_inner,19
ratio_click_of_devtype_in_osv,19
ratio_click_of_city_in_orderid,18
ratio_click_of_advert_industry_inner_in_f_channel,18
ratio_click_of_adid_in_osv,18
ratio_click_of_province_in_carrier,18
ratio_click_of_orderid_in_advert_id,18
ratio_click_of_hour_in_advert_id,18
province,18
ratio_click_of_province_in_creative_height,17
ratio_click_of_campaign_id_in_province,17
ratio_click_of_hour_in_creative_type,17
ratio_click_of_province_in_advert_id,17
ratio_click_of_city_in_make,17
ratio_click_of_os_name_in_city,17
